MAE,RMSE,MAPE,model,random_state,dataset,target,n_rows,n_features,run
0.014338704653521848,0.018549498012356815,3.359040254829159,RandomForest,20,jpeg-small,time,6764,18,21
0.015462733560607516,0.01966171677065236,3.6077436179211406,LinearRegression,21,jpeg-small,time,6764,18,22
0.015010010780622413,0.01940437496705019,3.505131763969907,RandomForest,21,jpeg-small,time,6764,18,22
0.015093905439590124,0.019281356083417463,3.5194664583341204,LinearRegression,22,jpeg-small,time,6764,18,23
0.014561485010799574,0.018850124831965034,3.4003957822164024,RandomForest,22,jpeg-small,time,6764,18,23
0.01486953751625922,0.018721543310480735,3.464910420808716,LinearRegression,23,jpeg-small,time,6764,18,24
0.014678563610969617,0.018990982777504505,3.417884908541011,RandomForest,23,jpeg-small,time,6764,18,24
0.015082093630143874,0.01923113786249523,3.5140020493954816,LinearRegression,24,jpeg-small,time,6764,18,25
0.014607611196713223,0.01888277268308677,3.4088810247155403,RandomForest,24,jpeg-small,time,6764,18,25
0.014622076260058042,0.01862716000605214,3.412839593268263,LinearRegression,25,jpeg-small,time,6764,18,26
0.01421886419643209,0.018321366977111526,3.312523909266903,RandomForest,25,jpeg-small,time,6764,18,26
0.015179568386131466,0.019561349310699704,3.5202607778220907,LinearRegression,26,jpeg-small,time,6764,18,27
0.014760769216242961,0.019292250701000536,3.426998658552832,RandomForest,26,jpeg-small,time,6764,18,27
0.015149785159849317,0.01939130212001963,3.5275643768629807,LinearRegression,27,jpeg-small,time,6764,18,28
0.01451726004725495,0.01890129795416535,3.379424541575376,RandomForest,27,jpeg-small,time,6764,18,28
0.014732389196399855,0.018899530550611554,3.436594021141843,LinearRegression,28,jpeg-small,time,6764,18,29
0.014730716763708917,0.01914290146918775,3.4344662098807563,RandomForest,28,jpeg-small,time,6764,18,29
0.015430613564005019,0.019727699107913794,3.5840867058464845,LinearRegression,29,jpeg-small,time,6764,18,30
0.015022326568154375,0.019448419504685125,3.498190082536211,RandomForest,29,jpeg-small,time,6764,18,30
0.5384931909755979,0.8946600997417131,1.4408260268119601,LinearRegression,0,psd-large,time,6764,18,1
0.5933966446744839,1.0173249063379435,1.5974503805101723,RandomForest,0,psd-large,time,6764,18,1
0.5320238859455766,0.8652569355363912,1.4321280344740677,LinearRegression,1,psd-large,time,6764,18,2
0.5816289477801642,0.9848272256900558,1.5639170006561933,RandomForest,1,psd-large,time,6764,18,2
0.542549780005243,0.8799832932105502,1.4692480393327048,LinearRegression,2,psd-large,time,6764,18,3
0.5674328472502196,0.9728790767986232,1.5445179643996858,RandomForest,2,psd-large,time,6764,18,3
0.5251427590597479,0.8386734638733311,1.4210752927093597,LinearRegression,3,psd-large,time,6764,18,4
0.5758596349940088,0.9812828447639375,1.5444409768082887,RandomForest,3,psd-large,time,6764,18,4
0.5397906477726926,0.9045101523109444,1.439920107091035,LinearRegression,4,psd-large,time,6764,18,5
0.6010165118893327,1.0362554245861226,1.5856877678056467,RandomForest,4,psd-large,time,6764,18,5
0.5270000186311992,0.8499186440116738,1.4246926760725152,LinearRegression,5,psd-large,time,6764,18,6
0.5677822907726455,0.9559440546921629,1.5366606022811025,RandomForest,5,psd-large,time,6764,18,6
0.5507308225120421,0.8960093998578245,1.4762915207510978,LinearRegression,6,psd-large,time,6764,18,7
0.5980828977553965,1.019456832181231,1.5916516394653124,RandomForest,6,psd-large,time,6764,18,7
0.5487770817967293,0.9195592086306482,1.4519771395031817,LinearRegression,7,psd-large,time,6764,18,8
0.60087395711708,1.0353167847329776,1.604278187105098,RandomForest,7,psd-large,time,6764,18,8
0.5317677407617946,0.8636318125072419,1.417886619892904,LinearRegression,8,psd-large,time,6764,18,9
0.5888697573347073,1.0055598138682447,1.5759481344943058,RandomForest,8,psd-large,time,6764,18,9
0.5337924600964195,0.8659505867495632,1.4250147372664057,LinearRegression,9,psd-large,time,6764,18,10
0.5827097188099315,0.9939634690127785,1.5621910186008392,RandomForest,9,psd-large,time,6764,18,10
0.5462474294440808,0.9056581941438365,1.4415859462064144,LinearRegression,10,psd-large,time,6764,18,11
0.6005644906723377,1.0219168670498309,1.5877525412196754,RandomForest,10,psd-large,time,6764,18,11
0.5329696987765196,0.8562554940860009,1.4273784856095542,LinearRegression,11,psd-large,time,6764,18,12
0.5833922188848212,0.9816839011177971,1.5631831624817505,RandomForest,11,psd-large,time,6764,18,12
0.5450942195174466,0.8809001098582899,1.4452033240149933,LinearRegression,12,psd-large,time,6764,18,13
0.6154384622612867,1.0247380002066775,1.6256822712041215,RandomForest,12,psd-large,time,6764,18,13
0.5408713870836785,0.8930042144325592,1.4437074192342862,LinearRegression,13,psd-large,time,6764,18,14
0.5875986991224247,1.0101145604212896,1.5552421781853036,RandomForest,13,psd-large,time,6764,18,14
0.5431693653320089,0.894027160933856,1.444271027555326,LinearRegression,14,psd-large,time,6764,18,15
0.6005948124425852,1.0203985293385982,1.5791500424543174,RandomForest,14,psd-large,time,6764,18,15
0.5510161750174907,0.9017316552056837,1.4330154766619014,LinearRegression,15,psd-large,time,6764,18,16
0.5953202580531743,1.0154012202043,1.5477583466391784,RandomForest,15,psd-large,time,6764,18,16
0.526464115527928,0.8469711290552119,1.4335114807522804,LinearRegression,16,psd-large,time,6764,18,17
0.5775086927614234,0.9783898949715957,1.562764841253372,RandomForest,16,psd-large,time,6764,18,17
0.5425380340284417,0.8850420156799442,1.413379468411351,LinearRegression,17,psd-large,time,6764,18,18
0.5980074167632333,1.0181756451860258,1.5654109047296911,RandomForest,17,psd-large,time,6764,18,18
0.5226022442360593,0.8408671908018122,1.3954050918375231,LinearRegression,18,psd-large,time,6764,18,19
0.558841921368817,0.9457355345612247,1.5042687354895992,RandomForest,18,psd-large,time,6764,18,19
0.5468873546839859,0.9141762041934108,1.4595210539363614,LinearRegression,19,psd-large,time,6764,18,20
0.597591460395067,1.0175983346720319,1.5946658358453036,RandomForest,19,psd-large,time,6764,18,20
0.5394614949812875,0.8892191194165185,1.441069528536494,LinearRegression,20,psd-large,time,6764,18,21
0.6013308281963266,1.023782404383485,1.6077610804658744,RandomForest,20,psd-large,time,6764,18,21
0.5300171666645553,0.8607899486532354,1.4080208044968743,LinearRegression,21,psd-large,time,6764,18,22
0.5991750870410975,1.0116957125335224,1.5754652219386915,RandomForest,21,psd-large,time,6764,18,22
0.5285165381622992,0.8511877715148471,1.4087519412571496,LinearRegression,22,psd-large,time,6764,18,23
0.603277958347576,0.9998703359369494,1.603506152521698,RandomForest,22,psd-large,time,6764,18,23
0.5360891383933523,0.8784492912126205,1.427727568560715,LinearRegression,23,psd-large,time,6764,18,24
0.6023391590011717,1.018812445819627,1.5928567590814897,RandomForest,23,psd-large,time,6764,18,24
0.5414368748694928,0.8819246410880324,1.4397225631123793,LinearRegression,24,psd-large,time,6764,18,25
0.5845842351022137,0.9893497490178722,1.5673110493937399,RandomForest,24,psd-large,time,6764,18,25
0.5357727612097771,0.8680686576499371,1.4121531086029622,LinearRegression,25,psd-large,time,6764,18,26
0.558299851931792,0.9856415371798258,1.480007644229079,RandomForest,25,psd-large,time,6764,18,26
0.5389044581206721,0.8810772332162922,1.4303171151751848,LinearRegression,26,psd-large,time,6764,18,27
0.5680110200980961,0.9785817099073243,1.5107448687456515,RandomForest,26,psd-large,time,6764,18,27
0.5455182748014947,0.8773288670834086,1.4539869136170942,LinearRegression,27,psd-large,time,6764,18,28
0.5936477047988709,0.9946121414693937,1.5962994403244748,RandomForest,27,psd-large,time,6764,18,28
0.525581176807378,0.8387868695000443,1.4257687682179805,LinearRegression,28,psd-large,time,6764,18,29
0.5609277509442983,0.9643488555888574,1.5151241896893537,RandomForest,28,psd-large,time,6764,18,29
0.5247762360383664,0.8568757844305426,1.4187802116904573,LinearRegression,29,psd-large,time,6764,18,30
0.56947465032901,0.9825298497682541,1.5344489424099008,RandomForest,29,psd-large,time,6764,18,30
2325.6400931026956,2616.387503918148,7.387133884403224,LinearRegression,0,voter-16,throughput,1954,16,1
541.2259865818224,734.3163289721576,1.6898814553356714,RandomForest,0,voter-16,throughput,1954,16,1
2405.0977040456173,2678.352847917862,7.5827194087613625,LinearRegression,1,voter-16,throughput,1954,16,2
561.7522085466969,739.1706435613609,1.7564768378490092,RandomForest,1,voter-16,throughput,1954,16,2
2422.3010723683683,2684.700670003268,7.634623049956782,LinearRegression,2,voter-16,throughput,1954,16,3
548.5658415490828,724.689784273879,1.7025993517656046,RandomForest,2,voter-16,throughput,1954,16,3
2389.2263411993695,2648.956367743451,7.405705981374531,LinearRegression,3,voter-16,throughput,1954,16,4
567.3126704048804,801.882363621581,1.73167037844894,RandomForest,3,voter-16,throughput,1954,16,4
2398.41029411258,2653.1134772429223,7.467457438414414,LinearRegression,4,voter-16,throughput,1954,16,5
583.4980173298765,765.1854102413765,1.7672954202337006,RandomForest,4,voter-16,throughput,1954,16,5
2411.7897152905225,2665.205612766006,7.508011141162192,LinearRegression,5,voter-16,throughput,1954,16,6
587.0196159727953,799.5510306074142,1.7995037718434876,RandomForest,5,voter-16,throughput,1954,16,6
2394.8004354390155,2669.569710279459,7.60810713256215,LinearRegression,6,voter-16,throughput,1954,16,7
545.7829036159047,714.8465477155875,1.717778729430883,RandomForest,6,voter-16,throughput,1954,16,7
2343.987740107379,2595.1054929648767,7.445615817553571,LinearRegression,7,voter-16,throughput,1954,16,8
557.4856468947605,751.4989776521165,1.7159442893891115,RandomForest,7,voter-16,throughput,1954,16,8
2388.835881392335,2640.8303484440016,7.501150444993376,LinearRegression,8,voter-16,throughput,1954,16,9
555.9906803384007,735.7129943442571,1.7073319498108024,RandomForest,8,voter-16,throughput,1954,16,9
2438.3450440424394,2679.526788051845,7.553612752655988,LinearRegression,9,voter-16,throughput,1954,16,10
582.8782538552088,756.6384795479046,1.7781199500361193,RandomForest,9,voter-16,throughput,1954,16,10
2368.0794219142185,2610.6572506705447,7.376588150519972,LinearRegression,10,voter-16,throughput,1954,16,11
555.9888058907014,730.8754633180665,1.7105679816492685,RandomForest,10,voter-16,throughput,1954,16,11
2445.964257110036,2708.57551102493,7.788451117997044,LinearRegression,11,voter-16,throughput,1954,16,12
